unix_ts,t_s,L,F,X,Y,Z
1777751443.702,2.591,0,0,0,0,0
1777751443.718,2.607,0,0,0,0,0
1777751445.699,4.589,87,0,31806,9278,0
1777751445.796,4.685,85,0,-9728,-9728,0
1777751445.908,4.797,85,0,-10752,0,0
1777751446.003,4.893,85,0,0,0,0
1777751446.115,5.005,83,0,-9728,-9728,0
1777751446.211,5.101,83,0,-20480,0,0
1777751446.322,5.213,84,0,-4608,-4608,0
1777751446.419,5.309,84,0,-13824,0,0
1777751446.533,5.421,88,0,16384,0,0
1777751446.643,5.533,85,0,-9728,-9728,0
1777751446.739,5.629,86,0,28672,0,0
1777751446.850,5.740,86,0,-15872,-15872,0
1777751446.946,5.836,85,0,-3584,0,0
1777751447.060,5.949,86,0,-17408,0,0
1777751447.170,6.060,85,0,-21504,-21504,0
1777751447.268,6.156,84,0,31744,0,0
1777751447.378,6.268,84,0,11264,0,0
1777751447.477,6.364,85,0,-5632,-5632,0
1777751447.594,6.476,86,0,-6656,0,0
1777751447.698,6.588,85,0,-8704,-8704,0
1777751447.793,6.684,86,0,-24576,0,0
1777751447.890,6.781,85,0,-24576,0,0
1777751448.003,6.892,83,0,25600,25600,0
1777751448.099,6.988,82,0,9856,0,0
1777751448.210,7.100,82,0,30720,30720,0
1777751448.322,7.211,82,0,-27648,0,0
1777751448.418,7.308,83,0,-32767,0,0
1777751448.530,7.419,84,0,-1024,-1024,0
1777751448.643,7.532,82,0,-32768,0,0
1777751448.741,7.631,79,0,26624,26624,0
1777751448.834,7.724,79,0,0,0,0
1777751448.945,7.835,75,0,5120,0,0
1777751449.056,7.947,77,0,-20480,-20480,0
1777751449.152,8.043,76,0,-32768,0,0
1777751449.266,8.155,73,0,6720,6720,0
1777751449.377,8.267,75,0,-32768,0,0
1777751449.473,8.363,72,0,-24576,0,0
1777751449.585,8.475,73,0,-4096,-4096,0
1777751449.681,8.571,73,0,-32768,0,0
1777751449.791,8.682,82,0,-32768,-32768,0
1777751449.888,8.778,59,0,492,0,0
1777751450.000,8.890,95,0,0,0,0
1777751450.097,8.986,175,0,0,0,0
1777751450.210,9.098,236,0,0,0,0
1777751450.305,9.194,333,0,0,0,0
1777751450.416,9.306,587,0,0,0,0
1777751450.527,9.418,610,0,0,0,0
1777751450.624,9.514,617,0,0,0,0
1777751450.736,9.626,603,0,0,0,0
1777751450.832,9.722,597,0,0,0,0
1777751450.944,9.834,595,0,0,0,0
1777751451.040,9.930,594,0,0,0,0
1777751451.152,10.042,593,0,0,0,0
1777751451.264,10.153,592,0,0,0,0
1777751451.360,10.249,592,0,0,0,0
1777751451.511,10.367,586,0,0,0,0
1777751451.572,10.462,585,0,0,0,0
1777751451.678,10.569,577,0,0,0,0
1777751451.774,10.665,576,0,0,0,0
1777751451.886,10.776,568,0,0,0,0
1777751452.006,10.896,577,0,0,0,0
1777751452.094,10.984,577,0,0,0,0
1777751452.206,11.096,581,0,0,0,0
1777751452.315,11.199,589,0,0,0,0
1777751452.430,11.308,598,0,0,0,0
1777751452.538,11.406,604,0,0,0,0
1777751452.649,11.514,602,0,0,0,0
1777751452.762,11.626,603,0,0,0,0
1777751452.867,11.725,603,0,0,0,0
1777751452.976,11.838,603,0,0,0,0
1777751453.089,11.940,603,0,0,0,0
1777751453.183,12.044,603,0,0,0,0
1777751453.246,12.136,604,0,0,0,0
1777751453.357,12.248,603,0,0,0,0
1777751453.469,12.359,604,0,0,0,0
1777751453.565,12.455,604,0,0,0,0
1777751453.678,12.568,604,0,0,0,0
1777751453.774,12.664,605,0,0,0,0
1777751453.887,12.776,605,0,0,0,0
1777751453.998,12.887,605,0,0,0,0
1777751454.094,12.983,606,0,0,0,0
1777751454.205,13.095,606,0,0,0,0
1777751454.302,13.191,604,0,0,0,0
1777751454.413,13.303,607,0,0,0,0
1777751454.509,13.399,607,0,0,0,0
1777751454.621,13.511,606,0,0,0,0
1777751454.718,13.607,606,0,0,0,0
1777751454.829,13.719,607,0,0,0,0
1777751454.941,13.831,607,0,0,0,0
1777751455.037,13.927,607,0,0,0,0
1777751455.148,14.038,603,0,0,0,0
1777751455.245,14.135,601,0,0,0,0
1777751455.357,14.246,590,0,0,0,0
1777751455.469,14.358,563,0,0,0,0
1777751455.564,14.454,486,0,0,0,0
1777751455.676,14.566,460,0,0,0,0
1777751455.772,14.662,480,0,0,0,0
1777751455.884,14.774,486,0,0,0,0
1777751455.980,14.870,495,0,0,0,0
1777751456.092,14.982,503,0,0,0,0
1777751456.204,15.093,504,0,0,0,0
1777751456.299,15.189,501,0,0,0,0
1777751456.411,15.301,496,0,0,0,0
1777751456.508,15.397,496,0,0,0,0
1777751456.619,15.509,503,0,0,0,0
1777751456.715,15.605,493,0,0,0,0
1777751456.829,15.717,442,0,0,0,0
1777751456.925,15.813,406,0,0,0,0
1777751457.035,15.925,406,0,0,0,0
1777751457.147,16.037,270,0,0,0,0
1777751457.243,16.133,200,0,0,0,0
1777751457.354,16.244,245,0,0,0,0
1777751457.451,16.341,512,0,0,0,0
1777751457.564,16.452,659,0,0,0,0
1777751457.675,16.565,665,0,0,0,0
1777751457.770,16.660,674,1,0,0,0
1777751457.882,16.772,679,0,0,0,0
1777751457.980,16.869,675,0,0,0,0
1777751458.090,16.980,673,0,0,0,0
1777751458.188,17.076,277,0,0,0,0
1777751458.298,17.188,141,0,0,0,0
1777751458.399,17.287,97,0,0,0,0
1777751458.508,17.396,75,0,0,0,0
1777751458.623,17.510,61,0,0,0,0
1777751458.714,17.604,77,0,0,0,0
1777751458.825,17.715,51,0,0,0,0
1777751458.922,17.812,49,0,0,0,0
1777751459.034,17.924,58,0,0,0,0
1777751459.147,18.035,595,0,0,0,0
1777751459.241,18.131,632,0,0,0,0
1777751459.352,18.243,637,0,0,0,0
1777751459.448,18.339,641,0,0,0,0
1777751459.561,18.451,642,0,0,0,0
1777751459.659,18.547,357,0,0,0,0
1777751459.772,18.659,145,0,0,0,0
1777751459.880,18.770,100,0,0,0,0
1777751459.977,18.866,78,0,0,0,0
1777751460.089,18.979,67,0,0,0,0
1777751460.186,19.075,60,0,0,0,0
1777751460.297,19.187,341,0,0,0,0
1777751460.393,19.282,630,0,0,0,0
1777751460.508,19.395,638,0,0,0,0
1777751460.618,19.506,644,0,0,0,0
1777751460.713,19.602,270,0,0,0,0
1777751460.826,19.715,126,0,0,0,0
1777751460.922,19.810,89,0,0,0,0
1777751461.032,19.922,74,0,0,0,0
1777751461.128,20.018,147,0,0,0,0
1777751461.244,20.130,620,0,0,0,0
1777751461.354,20.242,636,0,0,0,0
1777751461.448,20.338,643,0,0,0,0
1777751461.560,20.450,644,0,0,0,0
1777751461.658,20.546,646,0,0,0,0
1777751461.771,20.658,643,0,0,0,0
1777751461.865,20.754,646,0,0,0,0
1777751461.977,20.866,657,0,0,0,0
1777751462.088,20.978,664,0,0,0,0
1777751462.183,21.073,662,0,0,0,0
1777751462.295,21.185,668,0,0,0,0
1777751462.395,21.282,672,0,0,0,0
1777751462.504,21.393,665,0,0,0,0
1777751462.599,21.489,669,0,0,0,0
1777751462.710,21.601,671,0,0,0,0
1777751462.822,21.713,675,0,0,0,0
1777751462.918,21.809,678,0,0,0,0
1777751463.430,22.320,788,1001,0,0,0
1777751463.526,22.416,686,0,0,0,0
1777751463.640,22.529,682,0,0,0,0
1777751463.750,22.640,684,0,0,0,0
1777751463.847,22.736,682,0,0,0,0
1777751463.958,22.848,677,0,0,0,0
1777751464.054,22.944,676,0,0,0,0
1777751464.167,23.056,682,0,0,0,0
1777751464.678,23.568,922,1008,0,0,0
1777751465.175,24.064,907,1007,0,0,0
1777751465.286,24.176,691,0,0,0,0
1777751465.381,24.271,688,0,0,0,0
1777751465.494,24.383,686,0,0,0,0
1777751465.592,24.480,685,0,0,0,0
1777751465.702,24.591,688,0,0,0,0
1777751465.798,24.688,690,0,0,0,0
1777751465.910,24.799,691,0,0,0,0
1777751466.022,24.911,692,0,0,0,0
1777751466.118,25.007,694,0,0,0,0
1777751466.230,25.119,693,0,0,0,0
1777751466.326,25.216,694,0,0,0,0
1777751466.438,25.327,694,0,0,0,0
1777751466.534,25.423,695,0,0,0,0
1777751466.646,25.535,695,0,0,0,0
1777751466.758,25.647,694,0,0,0,0
1777751466.856,25.743,695,0,0,0,0
1777751466.966,25.855,695,0,0,0,0
1777751467.061,25.951,696,0,0,0,0
1777751467.573,26.463,768,1001,0,0,0
1777751468.084,26.974,777,997,0,0,0
1777751468.580,27.470,848,1005,0,0,0
1777751469.091,27.981,859,1005,0,0,0
1777751469.602,28.492,870,1007,0,0,0
1777751470.099,28.989,865,1007,0,0,0
1777751470.614,29.503,913,1009,0,0,0
1777751470.706,29.596,672,0,0,0,0
1777751470.819,29.709,670,0,0,0,0
1777751470.915,29.805,664,0,0,0,0
1777751471.027,29.916,658,0,0,0,0
1777751471.122,30.012,638,0,0,0,0
1777751471.235,30.125,636,0,0,0,0
1777751471.347,30.236,635,0,0,0,0
1777751471.443,30.332,632,0,0,0,0
1777751471.556,30.446,630,0,0,0,0
1777751471.651,30.540,625,0,0,0,0
1777751471.762,30.652,625,0,0,0,0
1777751471.859,30.749,623,0,0,0,0
1777751471.971,30.860,599,0,0,0,0
1777751472.066,30.956,549,0,0,0,0
1777751472.178,31.068,519,0,0,0,0
1777751472.289,31.179,499,0,0,0,0
1777751472.386,31.276,536,0,0,0,0
1777751472.497,31.388,513,0,0,0,0
1777751472.593,31.483,508,0,0,0,0
1777751472.705,31.595,503,0,0,0,0
1777751472.817,31.707,491,0,0,0,0
1777751472.913,31.803,501,0,0,0,0
1777751473.024,31.915,502,0,0,0,0
1777751473.121,32.011,496,0,0,0,0
1777751473.232,32.123,489,0,0,0,0
1777751473.328,32.219,492,0,0,0,0
1777751473.441,32.331,487,0,0,0,0
1777751473.553,32.443,476,0,0,0,0
1777751473.649,32.539,405,0,0,0,0
1777751473.761,32.650,290,0,0,0,0
1777751473.857,32.747,200,0,0,0,0
1777751473.969,32.859,180,0,0,0,0
1777751474.065,32.955,172,0,0,0,0
1777751474.179,33.067,181,0,0,0,0
1777751474.288,33.178,175,0,0,0,0
1777751474.385,33.274,171,0,0,0,0
1777751474.496,33.386,172,0,0,0,0
1777751474.592,33.482,158,0,0,0,0
1777751474.704,33.594,155,0,0,0,0
1777751474.801,33.690,141,0,0,0,0
1777751474.915,33.802,131,0,0,0,0
1777751475.024,33.914,124,0,0,0,0
1777751475.123,34.010,123,0,0,0,0
1777751475.231,34.121,123,0,0,0,0
1777751475.328,34.218,116,0,0,0,0
1777751475.441,34.330,108,0,0,0,0
1777751475.535,34.425,107,0,0,0,0
1777751475.647,34.537,105,0,0,0,0
1777751475.759,34.649,119,0,0,0,0
1777751475.856,34.745,131,0,0,0,0
1777751475.968,34.857,126,0,0,0,0
1777751476.064,34.953,526,0,0,0,0
1777751476.177,35.066,611,0,0,0,0
1777751476.271,35.161,624,0,0,0,0
1777751476.384,35.273,622,0,0,0,0
1777751476.495,35.385,604,0,0,0,0
1777751476.592,35.481,521,0,0,0,0
1777751476.704,35.593,314,0,0,0,0
1777751476.800,35.689,228,0,0,0,0
1777751476.912,35.802,433,0,0,0,0
1777751477.007,35.897,585,0,0,0,0
1777751477.118,36.008,631,0,0,0,0
1777751477.230,36.120,628,0,0,0,0
1777751477.325,36.216,604,0,0,0,0
1777751477.438,36.328,507,0,0,0,0
1777751477.540,36.427,543,0,0,0,0
1777751477.648,36.536,618,0,0,0,0
1777751477.758,36.648,629,0,0,0,0
1777751477.855,36.744,616,0,0,0,0
1777751477.965,36.855,592,0,0,0,0
1777751478.064,36.952,444,0,0,0,0
1777751478.211,37.064,521,0,0,0,0
1777751478.270,37.161,579,0,0,0,0
1777751478.380,37.271,566,0,0,0,0
1777751478.476,37.367,347,0,0,0,0
1777751478.588,37.479,291,0,0,0,0
1777751478.700,37.591,603,0,0,0,0
1777751478.796,37.686,637,0,0,0,0
1777751478.908,37.798,636,0,0,0,0
1777751479.004,37.894,604,0,0,0,0
1777751479.116,38.006,586,0,0,0,0
1777751479.233,38.102,626,0,0,0,0
1777751479.338,38.220,633,0,0,0,0
1777751479.440,38.331,631,0,0,0,0
1777751479.556,38.427,634,0,0,0,0
1777751479.660,38.539,628,0,0,0,0
1777751479.764,38.630,591,0,0,0,0
1777751479.896,38.751,622,0,0,0,0
1777751480.013,38.862,638,0,0,0,0
1777751480.096,38.961,641,0,0,0,0
1777751480.208,39.075,652,0,0,0,0
1777751480.268,39.158,643,0,0,0,0
1777751480.406,39.284,627,0,0,0,0
1777751480.476,39.366,627,0,0,0,0
1777751480.587,39.478,604,0,0,0,0
1777751480.683,39.573,618,0,0,0,0
1777751480.795,39.685,624,0,0,0,0
1777751480.909,39.797,615,0,0,0,0
1777751481.002,39.893,618,0,0,0,0
1777751481.116,40.006,618,0,0,0,0
1777751481.210,40.101,622,0,0,0,0
1777751481.323,40.213,628,0,0,0,0
1777751481.434,40.324,628,0,0,0,0
1777751481.530,40.420,629,0,0,0,0
1777751481.642,40.532,634,0,0,0,0
1777751481.742,40.632,636,0,0,0,0
1777751481.850,40.740,631,0,0,0,0
1777751481.979,40.844,265,0,0,0,0
1777751482.081,40.957,472,0,0,0,0
1777751482.192,41.068,534,0,0,0,0
1777751482.299,41.164,305,0,0,0,0
1777751482.396,41.269,184,0,0,0,0
1777751482.502,41.367,140,0,0,0,0
1777751482.623,41.486,123,0,0,0,0
1777751482.731,41.583,109,0,0,0,0
1777751482.853,41.700,107,0,0,0,0
1777751482.889,41.780,101,0,0,0,0
1777751483.036,41.911,99,0,0,0,0
1777751483.161,42.020,99,0,0,0,0
1777751483.209,42.099,118,0,0,0,0
1777751483.320,42.211,98,0,0,0,0
1777751483.426,42.316,95,0,0,0,0
1777751483.528,42.419,95,0,0,0,0
1777751483.625,42.515,97,0,0,0,0
1777751483.736,42.627,94,0,0,0,0
1777751483.848,42.739,90,0,0,0,0
1777751483.944,42.835,94,0,0,0,0
1777751484.056,42.947,92,0,0,0,0
1777751484.155,43.043,87,0,0,0,0
1777751484.267,43.155,90,0,0,0,0
1777751484.378,43.266,90,0,0,0,0
1777751484.474,43.363,91,0,0,0,0
1777751484.585,43.475,89,0,0,0,0
1777751484.681,43.571,79,0,0,0,0
1777751484.792,43.682,89,0,0,0,0
1777751484.894,43.778,91,0,0,0,0
1777751485.002,43.890,90,0,0,0,0
1777751485.112,44.002,102,0,0,0,0
1777751485.210,44.098,89,0,0,0,0
1777751485.325,44.210,89,0,0,0,0
1777751485.421,44.306,85,0,0,0,0
1777751485.528,44.418,100,0,0,0,0
1777751485.627,44.514,87,0,0,0,0
1777751485.736,44.626,90,0,0,0,0
1777751485.849,44.737,90,0,0,0,0
1777751485.944,44.833,90,0,0,0,0
1777751486.055,44.945,91,0,0,0,0
1777751486.153,45.042,90,0,0,0,0
1777751486.264,45.153,90,0,0,0,0
1777751486.362,45.249,89,0,0,0,0
1777751486.471,45.361,89,0,0,0,0
1777751486.568,45.457,88,0,0,0,0
1777751486.679,45.569,89,0,0,0,0
1777751486.791,45.681,89,0,0,0,0
1777751486.888,45.777,88,0,0,0,0
1777751486.998,45.888,85,0,0,0,0
1777751487.095,45.985,84,0,0,0,0
1777751487.207,46.097,86,0,0,0,0
1777751487.319,46.208,92,0,0,0,0
1777751487.417,46.305,114,0,0,0,0
1777751487.530,46.416,508,0,0,0,0
1777751487.624,46.513,596,0,0,0,0
1777751487.735,46.624,615,0,0,0,0
1777751487.830,46.720,620,0,0,0,0
1777751487.943,46.832,623,0,0,0,0
1777751488.054,46.944,626,0,0,0,0
1777751488.156,47.044,623,0,0,0,0
1777751488.263,47.152,623,0,0,0,0
1777751488.359,47.248,623,0,0,0,0
1777751488.471,47.360,632,0,0,0,0
1777751488.581,47.471,642,0,0,0,0
1777751488.678,47.568,629,0,0,0,0
1777751488.790,47.679,634,0,0,0,0
1777751488.886,47.775,617,0,0,0,0
1777751488.997,47.887,487,0,0,0,0
1777751489.094,47.984,490,0,0,0,0
1777751489.206,48.095,275,0,0,0,0
1777751489.302,48.192,507,0,0,0,0
1777751489.414,48.303,323,0,0,0,0
1777751489.525,48.415,486,0,0,0,0
1777751489.621,48.511,583,0,0,0,0
1777751489.733,48.623,475,0,0,0,0
1777751489.829,48.718,495,0,0,0,0
1777751489.942,48.831,386,0,0,0,0
1777751490.037,48.927,475,0,0,0,0
1777751490.147,49.038,349,0,0,0,0
1777751490.260,49.150,377,0,0,0,0
1777751490.356,49.246,179,0,0,0,0
1777751490.469,49.358,404,0,0,0,0
1777751490.566,49.455,179,0,0,0,0
1777751490.676,49.566,118,0,0,0,0
1777751490.788,49.678,108,0,0,0,0
1777751490.884,49.774,97,0,0,0,0
1777751490.996,49.886,89,0,0,0,0
1777751491.093,49.982,85,0,0,0,0
1777751491.205,50.094,92,0,0,0,0
1777751491.300,50.190,84,0,0,0,0
1777751491.412,50.302,80,0,0,0,0
1777751491.507,50.398,81,0,0,0,0
1777751491.620,50.510,74,0,0,0,0
1777751491.732,50.621,79,0,0,0,0
1777751491.828,50.717,78,0,0,0,0
1777751491.939,50.829,86,0,0,0,0
1777751492.036,50.925,94,0,0,0,0
1777751492.147,51.037,130,0,0,0,0
1777751492.259,51.149,118,0,0,0,0
1777751492.355,51.245,123,0,0,0,0
1777751492.468,51.358,146,0,0,0,0
1777751492.562,51.452,172,0,0,0,0
1777751492.674,51.564,114,0,0,0,0
1777751492.770,51.661,110,0,0,0,0
1777751492.882,51.772,109,0,0,0,0
1777751492.978,51.868,132,0,0,0,0
1777751493.090,51.981,159,0,0,0,0
1777751493.202,52.092,520,0,0,0,0
1777751493.298,52.188,564,0,0,0,0
1777751493.410,52.300,546,0,0,0,0
1777751493.507,52.396,561,0,0,0,0
1777751493.618,52.508,523,0,0,0,0
1777751493.730,52.620,500,0,0,0,0
1777751493.826,52.716,520,0,0,0,0
1777751493.938,52.828,535,1,0,0,0
1777751494.035,52.924,580,0,0,0,0
1777751494.146,53.036,624,0,0,0,0
1777751494.242,53.132,633,0,0,0,0
1777751494.354,53.244,634,0,0,0,0
1777751494.466,53.355,612,0,0,0,0
1777751494.562,53.452,603,0,0,0,0
1777751494.675,53.564,578,0,0,0,0
1777751494.770,53.660,586,0,0,0,0
1777751494.883,53.771,602,0,0,0,0
1777751494.978,53.868,611,0,0,0,0
1777751495.089,53.979,613,0,0,0,0
1777751495.201,54.091,626,0,0,0,0
1777751495.297,54.187,637,0,0,0,0
1777751495.409,54.299,640,0,0,0,0
1777751495.506,54.395,650,0,0,0,0
1777751495.617,54.506,639,0,0,0,0
1777751495.713,54.603,635,0,0,0,0
1777751495.825,54.715,629,0,0,0,0
1777751495.936,54.826,624,0,0,0,0
1777751496.035,54.925,620,0,0,0,0
1777751496.144,55.034,622,0,0,0,0
1777751496.246,55.134,624,0,0,0,0
1777751496.352,55.242,630,0,0,0,0
1777751496.449,55.339,640,0,0,0,0
1777751496.560,55.450,657,0,0,0,0
