epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.02,0.59815,0.87291,1.04316,0.6419,0.65881,0.59877,0.45082,1.14818,1.75532,1.51166,0.000193958,0.000193958,0.000193958
2,203.158,0.66004,0.93482,1.08466,0.51748,0.70181,0.61602,0.45816,1.19254,1.77403,1.58517,0.000351352,0.000351352,0.000351352
3,308.923,0.68768,0.96178,1.10181,0.73692,0.56784,0.62693,0.4492,1.19165,1.80396,1.56903,0.000469939,0.000469939,0.000469939
4,442.238,0.69901,1.01398,1.1154,0.75392,0.58667,0.66218,0.46962,1.21448,1.69586,1.58343,0.000413364,0.000413364,0.000413364
5,642.827,0.69012,0.95675,1.10153,0.7695,0.58247,0.63509,0.45946,1.17613,1.6838,1.59254,0.000355152,0.000355152,0.000355152
6,778.943,0.70509,0.96364,1.13233,0.57609,0.75237,0.63843,0.46797,1.22204,1.74779,1.59975,0.00029694,0.00029694,0.00029694
7,948.424,0.63844,0.87373,1.06892,0.61795,0.6321,0.64088,0.47608,1.19849,1.6717,1.57304,0.000238728,0.000238728,0.000238728
8,1054.88,0.65874,0.86018,1.08445,0.74974,0.58305,0.63261,0.46911,1.14906,1.78047,1.53369,0.000180516,0.000180516,0.000180516
9,1166.99,0.62701,0.81213,1.05769,0.71075,0.61824,0.63905,0.4668,1.15086,1.77706,1.53315,0.000122304,0.000122304,0.000122304
10,1276.75,0.60437,0.77518,1.02346,0.63327,0.62816,0.64644,0.48962,1.12169,1.68492,1.51785,6.4092e-05,6.4092e-05,6.4092e-05
