epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2721,0.94693,1.22973,1.3808,0.356,0.47657,0.39605,0.30387,1.04814,1.66596,1.6051,0.000466199,0.000466199,0.000466199
2,109.472,0.96712,1.2888,1.37535,0.4069,0.49987,0.41041,0.28086,1.22746,1.68706,1.80474,0.00092387,0.00092387,0.00092387
3,165.544,1.01891,1.34083,1.42732,0.73508,0.4243,0.38796,0.27575,1.23295,1.84307,1.84082,0.00136268,0.00136268,0.00136268
4,222.31,1.09471,1.34254,1.48103,0.29377,0.42828,0.33638,0.24649,1.22631,1.7673,1.7964,0.00134412,0.00134412,0.00134412
5,279.898,1.10138,1.33165,1.47766,0.68141,0.41381,0.34921,0.24514,1.24125,1.82196,1.79932,0.00131582,0.00131582,0.00131582
6,338.157,1.16289,1.4691,1.55817,0.33497,0.42105,0.36021,0.24671,1.35478,1.72646,1.90865,0.00128753,0.00128753,0.00128753
7,393.544,1.13257,1.37237,1.46964,0.36878,0.42032,0.37297,0.24929,1.38039,1.7453,1.93785,0.00125923,0.00125923,0.00125923
8,448.919,1.10554,1.32615,1.47056,0.37058,0.44287,0.38901,0.27123,1.23085,1.61285,1.74181,0.00123094,0.00123094,0.00123094
9,503.884,1.08809,1.33371,1.48756,0.34183,0.55291,0.38993,0.27226,1.2159,1.60305,1.77699,0.00120265,0.00120265,0.00120265
10,559.068,1.104,1.35247,1.48031,0.34011,0.45105,0.37911,0.2615,1.27981,1.69491,1.8244,0.00117435,0.00117435,0.00117435
11,614.422,1.1602,1.38611,1.5149,0.40681,0.42343,0.38853,0.26781,1.2198,1.61144,1.79473,0.00114606,0.00114606,0.00114606
12,669.559,1.03968,1.31712,1.45489,0.37567,0.47652,0.40722,0.28847,1.18681,1.57987,1.78822,0.00111776,0.00111776,0.00111776
13,725.171,1.10855,1.34568,1.51192,0.32592,0.55168,0.39847,0.2913,1.20041,1.59053,1.82152,0.00108947,0.00108947,0.00108947
14,780.955,1.0997,1.35462,1.49343,0.39306,0.4842,0.38561,0.27166,1.22188,1.61075,1.77408,0.00106118,0.00106118,0.00106118
15,836.403,1.06547,1.34308,1.44855,0.38806,0.50406,0.39799,0.27526,1.22087,1.58349,1.74407,0.00103288,0.00103288,0.00103288
16,904.475,1.07531,1.28047,1.43014,0.41507,0.46512,0.4084,0.27846,1.17912,1.57794,1.71889,0.00100459,0.00100459,0.00100459
17,1019.81,1.00104,1.19445,1.41221,0.36656,0.48703,0.38929,0.28545,1.12612,1.63678,1.71007,0.000976293,0.000976293,0.000976293
18,1137.23,1.03827,1.28962,1.44304,0.41447,0.48785,0.43616,0.3127,1.11037,1.56391,1.6782,0.000947999,0.000947999,0.000947999
19,1253.34,1.00463,1.2026,1.41902,0.417,0.45376,0.42692,0.29954,1.0741,1.64627,1.66327,0.000919704,0.000919704,0.000919704
20,1312.86,1.04792,1.28376,1.44667,0.32375,0.57362,0.38544,0.27403,1.14302,1.73701,1.70366,0.00089141,0.00089141,0.00089141
21,1368.72,1.03343,1.26935,1.42329,0.39892,0.49486,0.4318,0.30189,1.10078,1.56007,1.66941,0.000863116,0.000863116,0.000863116
22,1424.89,1.02596,1.27222,1.41219,0.37001,0.50659,0.42023,0.31092,1.08388,1.51283,1.66545,0.000834822,0.000834822,0.000834822
23,1481.54,1.04227,1.2249,1.43344,0.44012,0.45007,0.42261,0.3115,1.1111,1.50834,1.69566,0.000806528,0.000806528,0.000806528
24,1537.04,1.05161,1.213,1.43142,0.43853,0.45524,0.42443,0.31428,1.10761,1.57441,1.68984,0.000778233,0.000778233,0.000778233
25,1592.56,1.05525,1.23358,1.44201,0.4119,0.43928,0.41972,0.29866,1.11574,1.60921,1.70703,0.000749939,0.000749939,0.000749939
26,1651.94,1.01347,1.21703,1.41237,0.43057,0.46091,0.45389,0.32403,1.10233,1.57945,1.68839,0.000721645,0.000721645,0.000721645
27,1715.6,0.98999,1.20196,1.38823,0.43316,0.52302,0.4589,0.32771,1.06094,1.52278,1.66483,0.000693351,0.000693351,0.000693351
28,1778.14,0.91229,1.05744,1.33344,0.43993,0.49845,0.46093,0.34142,1.05274,1.47538,1.64186,0.000665057,0.000665057,0.000665057
29,1839.71,1.01721,1.20193,1.42706,0.46908,0.56472,0.47156,0.34959,1.01917,1.45677,1.61079,0.000636762,0.000636762,0.000636762
30,1901.77,0.99471,1.16316,1.41921,0.44126,0.58571,0.48585,0.3549,1.04329,1.53136,1.64487,0.000608468,0.000608468,0.000608468
31,1964.04,1.03098,1.21259,1.41534,0.42316,0.51303,0.47743,0.35337,1.03736,1.5098,1.6297,0.000580174,0.000580174,0.000580174
