epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.946,1.12012,2.31403,1.42519,0.63471,0.50053,0.5081,0.37273,1.11927,2.17231,1.42153,0.000191917,0.000191917,0.000191917
2,216.83,1.05735,2.1711,1.38536,0.53041,0.44257,0.41154,0.29247,1.13982,2.41386,1.46444,0.000384076,0.000384076,0.000384076
3,323.979,1.1202,2.12165,1.41009,0.53343,0.4892,0.44986,0.30048,1.24943,2.49061,1.5281,0.000572355,0.000572355,0.000572355
4,433.188,1.13729,2.1118,1.43349,0.60978,0.46444,0.50766,0.34186,1.19714,2.40749,1.54043,0.000570536,0.000570536,0.000570536
5,540.012,1.13152,1.9539,1.40612,0.69025,0.43221,0.51099,0.34178,1.196,2.24805,1.52117,0.000564715,0.000564715,0.000564715
6,649.232,1.18923,2.05355,1.46667,0.66172,0.50781,0.51381,0.34025,1.21244,2.19281,1.54524,0.000558894,0.000558894,0.000558894
7,756.167,1.13169,1.95309,1.42983,0.70229,0.40828,0.44838,0.31501,1.21437,2.29281,1.52473,0.000553073,0.000553073,0.000553073
8,869.201,1.19798,1.98282,1.45516,0.4379,0.53591,0.46976,0.31762,1.23199,2.47484,1.52738,0.000547252,0.000547252,0.000547252
9,979.83,1.13775,1.88016,1.40316,0.55232,0.53488,0.53544,0.38604,1.24168,2.3193,1.5604,0.00054143,0.00054143,0.00054143
10,1092.13,1.11104,1.85715,1.40549,0.63093,0.52731,0.51281,0.352,1.17316,2.37222,1.51673,0.000535609,0.000535609,0.000535609
11,1202.05,1.09352,1.82697,1.39478,0.57658,0.47607,0.46969,0.3265,1.27372,2.83983,1.55379,0.000529788,0.000529788,0.000529788
12,1313.8,1.08299,1.82961,1.38206,0.63207,0.49436,0.52391,0.34522,1.20335,2.21245,1.54043,0.000523967,0.000523967,0.000523967
13,1425.06,1.04293,1.68606,1.36442,0.7536,0.5079,0.63141,0.43957,1.20683,1.95696,1.55607,0.000518146,0.000518146,0.000518146
14,1537.04,1.05395,1.61793,1.3467,0.57149,0.54581,0.50899,0.33821,1.20457,2.21092,1.54775,0.000512324,0.000512324,0.000512324
15,1649.85,1.0834,1.71213,1.37003,0.7547,0.5215,0.55668,0.38476,1.15639,1.90597,1.48737,0.000506503,0.000506503,0.000506503
